X,Y,OBJECTID,PARK_ASSET_ID,PARK_NAME,ADDRESS,WARD,DISTRICT,STATUS,FOUNTAIN_STYLE,CONDITION,OWNER,MATERIAL,MOUNT_TYPE,INSTALL_REPLACEDATE,DOG_BOWL,BOTTLE_FILLER,BOWL_TYPE,WATER_MAIN_ID,WATER_MAIN_LOCATION,COMMENTS,SE_ANNO_CAD_DATA,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,VINYL_WRAP,VINYL_WRAP_TYPE
600930.2651,4787374.4318,53,107,Dominic Agostino Riverdale Community Centre,150 Violet Dr,10,East,Off,,,Facilities,Other,,,,,,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,fe3e8c3f-17ff-45fb-b33c-2e3e4bfdf09f,,
584106.7227,4790821.1309,54,108,Dundas Community Pool,39 Market St S,12,West,Off,,,Facilities,Other,,,,,,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,befc7798-bb03-48af-8f4e-c504aac7b6cb,,
595799.7058,4784931.7005,55,110,Mohwak Sports Park - Track & Field,1100 Mohawk Rd E,6,South,Off,Single Bowl,,Facilities,Other,On Building,,No,No,Single Bowl,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,2172b364-8227-43ff-b61f-ae09c8ecb47c,,
596235.2722,4781409.6173,56,111,Summit Park,215 Pinehill Dr,11,East,Off,Single Bowl,,Parks,Metal,Stand-alone,,No,No,Single Bowl,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,e0d643ec-1e29-4028-8fd5-ad7b96d2df19,,
590202.1629,4787383.2954,57,112,Buchanan Park,111 Columbia Dr,8,South,Off,"""Shorty Green"" Single Bowl",,Parks,Metal,Stand-alone,,No,No,Shorty Green,,,Needs Painting ,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,83d30b0a-e14e-4bc3-bee2-b6fdb8613108,,
595083.7342,4786008.1511,58,113,Huntington Park Recreation Centre,87 Brentwood Dr,8,South,Off,,,Facilities,Other,,,,,,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,5eda1306-683d-419e-81d3-7344510169a4,,
592384.7929,4790121.895,59,114,Beasley Park,96 Mary St,2,North,Off,Single Bowl with Dog Bowl and Water Bottle Filler,,Parks,Other,Stand-alone,,Yes,Yes,Single Bowl,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,f30be7b3-3436-40b7-b5f9-77615b6f848e,,
594438.9808,4775898.485,60,115,Glanbrook Arena and Auditorium,4300 Binbrook Rd,11,South,Off,,,Facilities,Other,,,,,,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,953e975c-84a8-43f6-b926-41017bbb051d,,
600495.867,4786208.1516,61,116,Green Acres Outdoor Pool,50 Randall Ave,10,East,Off,,,Facilities,Other,,,,,,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,0897aed5-b9f3-4226-b31e-20a8a06855ed,,
593486.4207,4789692.1749,62,117,Century St Parkette,80 Century St,3,North,Off,Single Bowl with Dog Bowl and Water Bottle Filler,,Parks,Other,Stand-alone,,Yes,Yes,Single Bowl,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,05e9a69a-2385-4b08-a5f6-a294eadf2304,,
599400.0722,4781435.7054,63,118,Cline Park,66 Pinewoods Dr,9,East,Off,Single Bowl with Dog Bowl and Water Bottle Filler,,Parks,Metal,Stand-alone,,Yes,Yes,Double Bowl,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,ece069e7-51c8-4b2f-9b22-303c48989eb6,Yes,Hummingbird
593827.345,4790216.8222,64,119,Woodland Park,501 Barton St E,3,North,Off,Single Bowl Fountain with Water Bottle Filler,,Facilities,Other,On Building,,No,Yes,Single Bowl,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,0289dccd-a4e4-4b04-a95b-530f667cf878,,
588967.4998,4790812.3285,65,120,Churchill Park,187 Cline Ave N,1,North,Off,Single Bowl with Dog Bowl and Water Bottle Filler,,Parks,Other,Stand-alone,,Yes,Yes,Single Bowl,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,d4c7e149-d503-4e62-ab67-27c7c357008b,Yes,Bee and Flower
595976.1032,4789885.2005,66,121,Dofasco Property Park,276 Beach Rd,3,North,Off,Single Bowl with Dog Bowl and Water Bottle Filler,,Parks,Other,Stand-alone,,Yes,Yes,Single Bowl,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,466f1625-bf6f-4e9b-9041-c371055ee33b,Yes,Monarch Butterfly
592892.2096,4789777.6649,67,123,J.C Beemer Park,68 Victoria Ave N,3,North,Off,Single Bowl Fountain with Water Bottle Filler,,Facilities,Other,On Building,,No,Yes,Single Bowl,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,e53f25f1-6f8b-498e-b6e1-b96c2b560c76,,
597180.4271,4787917.0791,68,124,Montgomery Park,1570 Main St E,4,North,Off,Bottle Filler in Building,,Facilities,Other,On Building,,No,Yes,Single Bowl,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,5397bb52-ecec-49f0-a18c-24a8814963d0,,
589962.0975,4790407.0257,69,125,Cathedral Park,707 King St W,1,North,Off,Single Bowl Fountain with Water Bottle Filler,,Facilities,Other,On Building,,No,Yes,,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,37e815a5-21cd-4931-9003-7ca120e8ba2a,,
598064.2107,4788838.6811,70,126,Mahony Park,1655 Barton St E,4,North,Off,Single Bowl Fountain with Water Bottle Filler,,Facilities,Other,On Building,,No,Yes,Single Bowl,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,2562b542-08b7-4918-a8b6-928f541d5e38,,
596805.0751,4786550.8471,71,127,Rosedale School Playground,25 Erindale Ave,4,North,Off,Single Bowl Fountain with Dog Bowl and Bottle Filler,,Parks,Other,Stand-alone,,Yes,Yes,Double Bowl,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,a19ca326-69ce-442b-aed5-26a9def50013,Yes,Swallowtail Butterfly
584637.8122,4790925.7022,72,128,Dundas Memorial Square,Hwy 8 at Memorial Square,13,West,Off,Single Bowl,,Parks,Other,Stand-alone,,No,No,Single Bowl,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,bb25b541-4643-404a-9959-140eec9196a5,,
